id;code;NbDoc;Pertinence;parent;lft;rgt;copie;geo;Explode 1;Explode 2;ajout;Supp
3980; PUBLICATIONS;1;0.936167240142822;;;;;;;;;
2450; Sciences sociales ;1;1.86253583431244;;;;;;;;;
1410;7ème PCRDT ;5;5.40454772114754;;;;;;;;;
483;A la Une;2;1.61557817459106;;;;;;;;;
347;A lire;5;5.76035666465759;;;;;;;;;
497;Académique;4;4.98698687553406;;;;;;;;;
671;Accord;7;7.68135541677475;;;;;;;;;
4704;Accords;1;1.12875545024872;;;;671;;;;;
663;Acoustique;12;8.72942537069321;;;;;;;;;
4510;Action humanitaire;1;0.806646406650543;;;;;;;;;
4455;activités de recherche;1;0.671672701835632;;;;;;;;;
2085;Activités en émergence;2;2.65413045883179;;;;;;;;;
4705;Actualité;79;86.4020372033119;;;;724;;;;;
724;Actualités;72;80.2998234927654;;;;;;;;;
2072;Adaptronique;1;0.490727037191391;;;;;;;;;
4280;Aérodynamique;2;0.862122356891632;;;;;;;;;
335;Aéronautique;103;107.631919592619;;;;;;;;;
739;Aérospatial;22;23.5312975347042;;;;;;;;;
456;Agenda;23;37.6232225000858;;;;;;;;;
4057;Agribusiness;1;0.772304475307465;;;;;;;;;
450;Agriculture;49;49.8140351474285;;;;;;;;;
4707;agro-alimentaire;4;3.72226339578629;;;;4677;;;;;
1873;Agro-économie;1;0.598089754581451;;;;;;;;;
2518;Agro-industries;1;1.27376317977905;;;;;;;;;
4677;Agroalimentaire;69;67.775106549263;;;;;;;;;
4670;Agrochimie;1;0.184128746390343;;;;;;;;;
386;Agronomie;248;213.211518675089;;;;;;;;;
4456;Algorithmes;1;0.26124495267868;;;;;;;;TIC;
1524;Alimentaire;3;3.31624227762222;;;;440;;;;;
440;Alimentation;18;16.0432135164738;;;;;;;;;
2317;Amazonie;2;2.28698921203613;;;;;;;;;
2002;Aménagement du territoire;2;1.36146056652069;;;;;;;;;
1591;Analyse comportementale;1;0.775583565235138;;;;;;;;;
1159;Analyse et observation de la matière;1;0.606001615524292;;;;;;;;;
1892;Animaux;1;0.555507481098175;;;;;;;;;
2569;Année de l'informatique;1;1.27726399898529;;;;;;;;;oui
818;Année Internationale de l'Energie Durable pour Tous;1;0.892769694328308;;;;;;;;;oui
2284;Année Polaire Internationale;7;9.66530382633209;;;;;;;;;
4205;Anniversaire;7;3.95187112689018;;;;;;;;;
2852;Annonce;3;4.19270157814026;;;;1554;;;;;
1741;Annonce de congrès;1;1.07124471664429;;;;1554;;;;;
4393;Annonce gouvernementale;1;0.891572296619415;;;;1554;;;;;
1554;Annonces;20;17.0791549384594;;;;;;;;;
4743;Antarctique;17;16.8901405930519;;;;;;;;;
754;Anthropologie;4;3.53334248065948;;;;;;;;;
1354;Apiculture;1;0.346695065498352;;;;;;;;;
2022;Appel à candidature;8;10.0727855563164;;;;;;;;;
1099;Appel à Participation;2;1.42386811971664;;;;;;;;;
1131;Appel à projets;28;30.1138381361961;;;;;;;;;
965;Appel d'offre;11;15.126159965992;;;;;;;;;
4717;appels d'offres;1;0.925890803337097;;;;965;;;;;
3451;Applications Multimédia;1;2.30733799934387;;;;;;;;TIC;
3419;Applications technologiques;1;1.73921835422516;;;;;;;;TIC;
1199;Apprentissage automatique;1;1.74088168144226;;;;;;;;TIC;
1170;Apprentissage virtuel;1;2.95275235176086;;;;;;;;TIC;
706;aquaculture;13;10.2953553497791;;;;;;;;;
327;archéologie;37;29.2437678277493;;;;;;;;;
1535;Archéologie et Métallurgie;1;0.51720517873764;;;;327;;;;;
3665;Archéométrie;1;1.34132981300354;;;;;;;;;
617;Arctique;2;2.18297302722931;;;;;;;;;
1195;Armement;1;1.08908712863922;;;;;;;;;
1902;Article de synthèse;12;13.1241499185562;;;;;;;;;
4471;Arts;3;3.90393167734146;;;;;;;;;
1482;Arts, sciences et technologies;1;1.65348863601685;;;;;;;;SIC;
1413;Astronautique;2;1.06761625409126;;;;;;;;;
506;astronomie;59;47.5104644596577;;;;;;;;;
558;Astrophysique;20;12.5486914813519;;;;;;;;;
2166;Attractivité;4;3.57484042644501;;;;;;;;;
349;Au coeur des régions;19;18.9620485305786;;;;;;;;;
1473;Audiovisuel;3;5.3027970790863;;;;;;;;;
3157;Automatique;3;3.53097599744797;;;;;;;;;
780;Automobile;20;24.5059768557549;;;;;;;;;
4652;Autoroutes de l'information;150;218.753582239151;;;;;;;;TIC;
1380;Autres;3;2.39127331972122;;;;;;;;;
1754;Avancées;1;0.76310533285141;;;;;;;;;
1711;Avancées en génétique;1;1.05841839313507;;;;;;;;;
834;Avancées scientifiques;1;0.424065917730331;;;;;;;;;
774;Avancées scientifiques dans les sciences du vivant;5;2.6520648598671;;;;834;;;;;
678;Avancées scientifiques et technologiques;1;0.468551695346832;;;;834;;;;;
420;Avancées technologiques;4;3.68242335319519;;;;;;;;;
776;Avancées technologiques au service des sciences du vivant;1;0.812607407569885;;;;420;;;;;
3037;Avionique;1;0.441331505775452;;;;;;;;;
4693;Bactéries;1;0.47171750664711;;;;;;;;;
690;Bactériologie;2;1.31357789039612;;;;;;;;;
1844;Baromètre;182;203.961032047868;;;;;;;;;
1489;Bâtiment;18;25.1697829067707;;;;;;;;;
1762;Bâtiment Energie;2;0.951212495565414;;;;;;;;;
1515;Batteries;1;0.772042453289032;;;;;;;;;
4376;Bicentenaire du CNAM;1;0.276505649089813;;;;;;;;;oui
4410;Big Data;3;6.40771925449371;;;;;;;;TIC;
1555;Bilan;1;1.42341291904449;;;;;;;;;
4371;Billetique;1;0.320775300264359;;;;;;;;;
4695;Bio;1;0.800506949424744;;;;;;;;;
3960;Bio médecine;1;1.77151370048523;;;;;;;;;
747;Bioaccoustique;1;0.995421350002289;;;;;;;;;
415;Biocarburant;6;4.29935798048973;;;;;;;;;
635;Biochimie;9;6.55164900422096;;;;;;;;;
445;Biodiversité;22;18.5040828585625;;;;;;;;;
4534;Biodynamique;1;1.00674998760223;;;;;;;;;
535;Bioéconomie;1;0.907344996929169;;;;;;;;;
750;Bioénergie;1;0.516269683837891;;;;;;;;;
600;Bioéthique;9;6.91671180725098;;;;;;;;;
552;Bioinformatique;8;5.74180379509926;;;;;;;;;
328;Biologie;424;382.335409298539;;;;;;;;;
1950;Biologie animale;2;1.0589391887188;;;;;;;;;
1030;Biologie cellulaire;2;2.48988473415375;;;;;;;;;
1073;Biologie Comportementale;1;0.715149462223053;;;;;;;;;
4402;Biologie de l'évolution;1;0.83330774307251;;;;;;;;;
2468;Biologie des systèmes;1;1.41072702407837;;;;;;;;;
652;Biologie du Cancer;1;0.246977508068085;;;;;;;;;
748;Biologie du comportement;1;0.371660053730011;;;;;;;;;
928;Biologie du développement;1;0.487821906805038;;;;;;;;;
3511;Biologie et pharmacologie;2;1.68981790542603;;;;;;;;;
1019;Biologie marine;4;3.25033974647522;;;;;;;;;
711;Biologie Médecine;2;2.79097628593445;;;;;;;;;
3050;Biologie Médecine Santé;27;21.420382887125;;;;711;;;;;
919;Biologie moléculaire;11;8.65180498361588;;;;;;;;;
873;Biologie Végétale;3;2.18441042304039;;;;;;;;;
974;Biologie-Médecine;6;6.38804221153259;;;;711;;;;;
949;Biologie-Santé;2;2.49811965227127;;;;711;;;;;
809;Biomatériaux;3;1.86827757954597;;;;;;;;;
955;Biomécanique;2;1.2002426981926;;;;;;;;;
1048;Biomédecine;7;4.56967061758041;;;;711;;;;;
913;Biomédical;19;20.9490010142326;;;;711;;;;;
429;Biométrie;2;1.71356308460236;;;;;;;;;
2410;Biomimétique;1;0.897787868976593;;;;;;;;;
1908;Bionique;1;0.57932984828949;;;;;;;;;
2162;Biopharmacie;1;0.580759584903717;;;;;;;;;
726;biophysique;3;1.76360201835632;;;;;;;;;
2444;Bioplastiques;1;1.04878830909729;;;;;;;;;
567;Biosciences;2;2.04994344711304;;;;;;;;;
1678;Biosécurité;1;0.67539393901825;;;;;;;;;
1388;Biosphère;1;0.450231641530991;;;;;;;;;
3670;Biosystèmes.;1;1.66753435134888;;;;;;;;;
331;biotechnologie;94;87.760575324297;;;;4706;;;;;
2251;Biotechnologie Ressource minière;1;1.67785465717316;;;;;;;;;
4706;Biotechnologies;157;165.355069041252;;;;;;;;;
3706;Biotechnologies humaines;1;0.899178862571716;;;;;;;;;
1366;Biotechnologies marines;1;0.618634819984436;;;;;;;;;
637;Botanique;1;0.338028788566589;;;;;;;;;
2417;Bourses;8;11.0555048584938;;;;;;;;;
565;Bourses du gouvernement français;2;1.72037675976753;;;;2417;;;;;
3639;Bourses et Coopération :;1;0.958385407924652;;;;2417;;;;;
400;Brèves;34;38.5378089249134;;;;;;;;;
3452;Brevets;3;3.80765867233276;;;;;;;;;
1374;BTP;3;3.98615643382072;;;;;;;;;
1632;Budget;1;1.78643083572388;;;;;;;;;
4525;Business Intelligence;1;0.973947823047638;;;;;;;;;
785;Cahier spécial;3;2.14781373739243;;;;;;;;;
1370;"Cahier spécial \""Solar Decathlon\"";""2";0.360992074012756;;;;;;;;;;oui
766;Cahier thématique;1;0.230191960930824;;;;;;;;;
1152;Calcul intensif;1;0.384264469146729;;;;;;;;;
2837;Calcul scientifique;1;1.87671709060669;;;;;;;;;
808;Calculs quantiques;1;0.341238409280777;;;;;;;;;
657;Calendrier;2;1.9922491312027;;;;;;;;;
1825;Campagne publique;1;0.724908232688904;;;;;;;;;
548;Cancer;3;1.53447499871254;;;;;;;;;
846;Cancérologie;5;2.60818880796432;;;;;;;;;
1103;Capture et stockage du carbone;1;0.848721861839294;;;;;;;;;
849;Cardiologie;2;1.69348388910294;;;;;;;;;
1776;Carrières scientifiques;2;2.04998928308487;;;;;;;;;
1217;Cartographie;4;4.10353076457977;;;;;;;;SIC;
1833;Catastrophe naturelle;1;0.460289061069489;;;;;;;;;
4621;cellule;1;1.07133209705353;;;;;;;;;
736;Cellules souches;1;0.264824062585831;;;;;;;;;
1924;Cellules souches embryonnaires;1;0.305306553840637;;;;736;;;;;
2885;CenDoTec;1;0.89110654592514;;;;;;;;;oui
722;Centre Copernic;2;0.601298660039902;;;;;;;;;
777;Centre de recherche;6;6.57124292850494;;;;;;;;;
3863;Centres de recherche d'excellence;4;3.38303133845329;;;;777;;;;;
1857;Cérémonie;2;2.61402797698975;;;;;;;;;
324;Cerveau;7;5.52298083901405;;;;;;;;;
859;Changement au sein de la KNAW;1;0.626702964305878;;;;;;;;;oui
629;Changement climatique;12;8.33615905046463;;;;;;;;;
1408;Chercheur de l'année 2009;1;0.84417736530304;;;;;;;;;oui
323;Chimie;153;142.85597743094;;;;;;;;;
4537;Chimie combinatoire;1;0.554871320724487;;;;;;;;;
950;Chimie des matériaux;1;0.912597239017487;;;;;;;;;
1688;Chimie des polymères ;1;0.61962217092514;;;;;;;;;
1110;Chimie du pétrole;1;0.408951073884964;;;;;;;;;
1990;Chimie physique;1;0.683275163173676;;;;;;;;;
733;Chirurgie;2;1.14754584431648;;;;;;;;;
2007;Ciel et Espace;1;0.584028780460358;;;;;;;;;
4672;Cinquantenaire de l'IFP;1;0.300248891115189;;;;;;;;;oui
4334;Cinquantenaire du CEA;7;3.3089208304882;;;;;;;;;oui
4668;Cinquantenaire du CNET;2;1.95866459608078;;;;;;;;;oui
566;Classement des Universités ;5;3.60975995659828;;;;;; des ;;;
4422;Classements;1;0.430230259895325;;;;;;;;;
382;climat;27;21.226723253727;;;;;;;;;
1899;Climat et Environnement;1;1.26412796974182;;;;382;;;;;
1984;Climat et sciences de la Terre;2;1.09596133232117;;;;382;;;;;
763;Climatologie;10;7.55697399377823;;;;382;;;;;
524;Clonage;2;2.00118869543076;;;;;;;;;
1274;Cluster;1;1.9920529127121;;;;;;;;;
543;Collaboration;17;18.2899105548859;;;;;;;;;
517;Colloque;19;21.5824605673552;;;;;;;;;
4713;Colloques;1;0.695757865905762;;;;517;;;;;
1631;Communication;44;96.5433054566383;;;;;;;;SIC;
1144;Communication & Innovation;1;1.18387949466705;;;;;;;;SIC;
2367;Communication du service scientifique;10;13.7443814277649;;;;;;;;;
656;Communication scientifique;4;11.3345584869385;;;;;;;;;
4722;Communications;17;18.6254005730152;;;;;;;;;
4556;Communications aériennes;1;1.41737532615662;;;;;;;;;
2338;Compétitivité;1;0.831719279289246;;;;;;;;;
2820;Complément d'information;1;1.00391638278961;;;;;;;;;oui
916;Conférence;124;161.644443973899;;;;;;;;;
4714;conférences;14;24.295264005661;;;;916;;;;;
1841;Congrès;17;28.785427749157;;;;;;;;;
4635;Conservation;2;0.492355704307556;;;;;;;;;
2173;Consommation;1;2.71357941627502;;;;;;;;;
1237;Construction;22;24.9688993096352;;;;;;;;;
760;Construction navale;1;0.731991469860077;;;;;;;;;
4417;Consultation publique en science & technologie;1;0.964849412441254;;;;;;;;;oui
473;coopération;110;134.103742033243;;;;;;;;;
627;Coopération bilatérale;6;6.46621000766754;;;;;;;;;
1799;Coopération européenne scientifique;2;2.9056499004364;;;;;;;;;
537;Coopération internationale;28;37.0696043670177;;;;;;;;;
4485;Coopération public privée;1;0.912048578262329;;;;473;;;;;
613;Coopération scientifique;60;72.7659144997597;;;;;;;;;
614;Coopération Universitaire;29;30.6667297780514;;;;;;;;;
1541;Coopérations environnementales;1;0.39980673789978;;;;;;;;;
1175;Coopérations internationales;8;10.0517952442169;;;;537;;;;;
3439;Coopérations technologiques;4;4.052883207798;;;;;;;;;
1432;Copernic fait l'actualité;1;0.419791489839554;;;;;;;;;oui
4516;Cosmétique;3;1.3991427719593;;;;;;;;;
2896;Cryptographie;1;0.844256937503815;;;;;;;;;
1236;Cryptologie;1;1.39487600326538;;;;;;;;;
1460;Cultural Tech;2;1.16768944263458;;;;;;;;;
1664;Culture & societé;2;1.19215598702431;;;;;;;;SIC;
568;Culture scientifique;14;14.2867721915245;;;;;;;;;
1163;Débat d'idées;1;1.79449641704559;;;;;;;;;oui
4633;Déchets;1;0.474053919315338;;;;;;;;;
3456;Décoration;7;11.9984683394432;;;;;;;;;
861;Découverte;14;13.6974805891514;;;;;;;;;
589;Défense;15;14.1260050833225;;;;;;;;;
1796;Dépêches scientifiques et technologiques;1;0.395174890756607;;;;;;;;;oui
3319;Dernière minute;4;4.24212148785591;;;;;;;;;
1876;Des livres à lire;2;1.52516946196556;;;;;;;;;oui
1967;Design;1;0.410047560930252;;;;;;;;;
4658;Détecter;1;0.255504012107849;;;;;;;;;
1406;Développement;1;1.87502765655518;;;;;;;;;
457;développement durable;15;14.24204865098;;;;;;;;;
816;Développement urbain durable;3;3.30657437443733;;;;457;;;;;
4476;Didactique de la connaissance;1;0.424211174249649;;;;;;;;SIC;
2555;Diffusion scientifique;1;3.30112195014954;;;;;;;;;oui
4445;Diplômes d'ingénieurs;1;1.2474262714386;;;;;;;;;oui
412;Dispositifs médicaux;1;0.346723645925522;;;;;;;;;
710;Distinction;18;17.8955755829811;;;;;;;;;
628;Divers;39;47.1990132927895;;;;;;;;;
3918;Domaine Spatial ;2;4.1868736743927;;;;;;;;;
1619;Domotique;3;4.41253966093063;;;;;;;;;
4698;données;1;1.70018124580383;;;;;;;;;oui
650;Dossier;70;72.958388954401;;;;;;;;;
3898;Dossier : Coopération franco-australienne en médecine nucléaire;1;0.870509088039398;;;;650;;;;;
3899;DOSSIER : Les récifs coralliens, un trésor de la biodiversité en danger;1;0.277825862169266;;;;650;;;;;
2334;Dossier bimestriel;2;1.50415477156639;;;;650;;;;;
3921;Dossier du mois : la Faculté d'Electrotechnique de Ljubljana;1;0.78344863653183;;;;650;;;;;
520;Dossier Espace;3;3.12477695941925;;;;;;;;;
2725;Dossier mensuel;2;2.96293294429779;;;;;;;;;
3140;Dossier sectoriel;58;53.0181032568216;;;;;;;;;
466;Dossier spécial;8;4.60206201672554;;;;;;;;;
4595;Droit;1;1.37341022491455;;;;;;;;;
1537;Droits de l'homme;1;0.564649939537048;;;;;;;;;
2158;Du côté de la Bavière;4;5.23471307754517;;;;;;;;;oui
946;Du côté des instituts;7;4.9432187974453;;;;;;;;;oui
448;Du côté des pôles;13;11.7472026050091;;;;;;;;;
1167;Du côté des Polonium;4;6.07714438438416;;;;;;;;;oui
900;Eau;15;16.6152192950249;;;;;;;;;
1221;Eclairage;9;7.18858999013901;;;;;;;;;
4605;Ecoles d'été;1;1.08480763435364;;;;;;;;;
827;Ecologie;22;21.8981136083603;;;;;;;;;
855;Ecologie et environnement;3;2.37057423591614;;;;827;;;;;
2156;Ecologie et réchauffement climatique;1;0.616014361381531;;;;827;;;;;
435;Economie;4;4.72472721338272;;;;;;;;;
3013;Economie de la connaissance;1;0.743896901607513;;;;;;;;SIC;
4526;Edition;2;4.40675854682922;;;;;;;;;
476;Editorial;93;78.9744134843349;;;;;;;;;
887;éducation;69;109.271209478378;;;;;;;;;
4097;Education - Recherche;3;5.42028772830963;;;;887;;;;;
4058;Education et formation scientifique;1;0.646521389484406;;;;887;;;;;
3826;Education et Politique de la recherche;1;2.07320046424866;;;;887;;;;;
616;Efficacité énergétique;3;4.27312976121902;;;;;;;;;
3052;eGouvernement;1;1.55903673171997;;;;;;;;SIC;
2071;Electricité;2;1.13542795181274;;;;;;;;;
332;Electromobilité;23;29.2932235896587;;;;;;;;;
342;Electronique;212;289.682577580214;;;;;;;;;
2304;Electronique embarquée;1;0.768616378307343;;;;;;;;;
504;Electronique et informatique;1;0.592762529850006;;;;;;;;;
1140;Electronique moléculaire;1;0.683822572231293;;;;;;;;;
773;Eléctronique organique;1;0.467628449201584;;;;;;;;;
2236;Electrotechnique;2;7.48001956939697;;;;;;;;;
857;élevage;17;17.0736045241356;;;;;;;;;
721;Elites scientifiques polonaises;1;0.717675685882568;;;;;;;;;oui
581;Embryon bioéthique;1;0.37595921754837;;;;;;;;;oui
509;En bref;140;257.652520000935;;;;;;;;;
578;En direct des labos;81;78.9741315543652;;;;;;;;;
4498;Energétique;57;64.7807178795338;;;;;;;;;
329;Energie;740;613.950695052743;;;;;;;;;
1479;Energie durable;2;1.30580669641495;;;;;;;;;
1204;Energie Environnement;2;2.9771546125412;;;;507;;;;;
1648;Energie éolienne;1;0.571899235248566;;;;;;;;;
507;Energie et environnement;38;29.6000009179115;;;;;;;;;
1008;Energie Formation;1;0.586235642433167;;;;;;;;;
1275;Energie propre;1;0.552218019962311;;;;;;;;;
516;Energie, Environnement;5;4.73829752206802;;;;507;;;;;
3264;Energie, ingénierie pétrolière et gazière;2;1.25825494527817;;;;;;;;;
608;Energies;7;6.75541341304779;;;;329;;;;;
4268;Energies - Ressources;1;0.979321658611298;;;;;;;;;
936;Energies & environnement;1;2.12060499191284;;;;507;;;;;
3207;Energies propres;1;0.712351858615875;;;;;;;;;
951;Energies renouvelables;10;8.14728218317032;;;;;;;;;
2092;Energies renouvelables et nucléaire;1;1.64595699310303;;;;951;;;;;
1909;Enjeux Globaux;1;1.22839641571045;;;;;;;;;
1529;Enseignement;11;13.3695678710938;;;;;;;;;
423;Enseignement supérieur;62;72.803543806076;;;;;;;;;
1296;Enseignement supérieur et politiques de recherche;1;0.462193936109543;;;;423;;;;;
470;Enseignement universitaire: les cours en ligne ouverts & massifs;1;0.53497451543808;;;;423;;;;SIC;
954;Entreprise;7;9.58954530954361;;;;;;;;;
3930;Entretien;4;2.6754270195961;;;;;;;;;
378;Entrevue;2;2.28135848045349;;;;;;;;;
322;Environnement;1177;988.052450627089;;;;;;;;;
2271;Environnement - Sciences du globe;227;193.959993198514;;;;;; - ;;;
1993;Eolien;1;0.552698493003845;;;;;;;;;
478;Epidemiologie;9;7.10097768902779;;;;;;;;;
3112;Epigénétique;1;2.53163862228394;;;;;;;;;
3248;Equipement médical;1;0.81843364238739;;;;;;;;;
2204;Equipement scientifique;2;1.27362197637558;;;;;;;;;
3344;Equipements biomédicaux;1;0.76178115606308;;;;;;;;;
2428;Erratum;4;4.5645107626915;;;;;;;;;
350;Espace;593;540.595166653395;;;;;;;;;
2197;Espace Biologie Energie;1;2.17664361000061;;;;;;;;;
1322;Espace Européen de la recherche;2;1.48665015399456;;;;;;;;;
2380;Espace Médecine;1;1.19441318511963;;;;;;;;;
762;ESS - Centre européen de spallation;5;6.05416369438171;;;;;;;;;
621;Ethique;5;4.44349321722984;;;;;;;;;
401;Ethologie;3;3.6668649315834;;;;;;;;;
1827;Etude;2;1.89815306663513;;;;;;;;;
599;Etude du climat;1;0.727288007736206;;;;;;;;;
3019;Etudes en France ;1;1.0858302116394;;;;;;;;;
1611;Etudes supérieures;1;1.14601814746857;;;;;;;;;
2134;Europe;1;0.472533643245697;;;;;;;;;
770;Evaluation de la recherche scientifique;2;2.59870088100433;;;;;;;;;
474;Evaluation des formations d'enseignement supérieur;1;0.749331295490265;;;;;;;;;
344;Evènement;204;283.638788849115;;;;;;;;;
4712;Evénements;23;38.4476656913757;;;;344;;;;;
3763;Evénements et conférences à venir en Norvège;1;1.52589380741119;;;;344;;;;;
1256;Evénements scientifiques;47;55.7286749184132;;;;344;;;;;
1807;Evolution;4;2.88064455986023;;;;;;;;;
1712;Evolution animale ;1;1.03127658367157;;;;;;;;;
1261;Expédition scientifique;1;0.678796470165253;;;;;;;;;
2151;Expérimentations;1;0.959985017776489;;;;;;;;;
2059;Exploration marine;1;0.52981960773468;;;;;;;;;
1235;Exploration polaire;1;0.582545280456543;;;;;;;;;
4719;Expos;1;1.88686466217041;;;;;;;;;
1770;Exposition;4;4.6454701423645;;;;;;;;;
4720;Expositions;3;5.2884624004364;;;;1770;;;;;
3142;Ferroviaire;1;0.288255333900452;;;;;;;;;
3929;Fiche web;2;3.2738790512085;;;;;;;;;
